code_type,code,name,qty,unit,category
full,8858711987569,Cintage ซินเทจ บิวตี้ เบลอร์ ทินท์ ลิป เบอร์ 02 (ชิ้น),0,,Cintage
full,8858711988764,Cintage ซินเทจ บิวตี้ คิตต๊อก บลัช เบอร์ 02,0,,Cintage
full,8858711988832,Cintage โกลวี่ ทินท์ บาล์ม (ชิ้น),0,,Cintage
full,8852526894838,Clear Face วิตซี เนเชอรัล โซป (ชิ้น),0,,clear face
full,8858977022547,clear nose acne care solution cleanser,0,,clear nose
full,8858977099235,clear nose bright micro solution cleanser,0,,clear nose
full,8858977131164,clear nose วิตามินซี คอมแพล็กซ์ คลีนเซอร์ .,0,,clear nose
full,8858977142245,clear nose เซรั่มเข้มข้น HYA (ซอง),0,,clear nose
full,8858977223241,clear nose เจลสิว (ซอง),0,,clear nose
full,8858977000118,Clear Nose เอ็กซ์ตร้า มอยส์ สกิน แบริเออร์ มอยส์เจอร์ไรซิ่ง เจล ครีม (ซอง,0,,clear nose
full,8858977011008,clear nose มอยส์สกินแบริเออร์มอยส์เจอไรซิ่งเจล (),0,,clear nose
full,8858977090225,clear nose ลอกสิวเสี้ยน (ซอง),0,,clear nose
full,8858977114518,เคลียร์โนส แมทท์เซรั่มออยล์ฟรี (ซอง),0,,clear nose
full,8858977141156,เคลียร์โนส อโลเวร่าซูทติ้งไบร์ทเทนนิ่งเจล (ซอง),0,,clear nose
full,8858977239907,Clear nose แอคเน่ แคร์ โซลูชั่น บีบี 30 กรัม (1หลอด),0,,clear nose
full,8858977311610,เคลียร์โนส ไวท์ บอดี้ เดอร์ม่า เซรั่ม(),0,,clear nose
full,8858977422323,เคลียร์โนส กันแดด บูสเตอร์ (ซอง),0,,clear nose
full,8858977511140,Clear nose ยูวี บอดี้ ซันเซรั่ม SPF50+ PA++++ (ซอง,0,,clear nose
